Code,SMILES,Classifications,Backbone_Type,Backbone_Info
LDO,OCCCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
LE1,[NH3][C@@H](C(S)(C)C)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
LED,O=C[C@@H](C[C@@H](C(=O)O)[NH3])C,unclassified,alpha,默认分类
LEF,FC[C@H](C[C@@H](C(=O)O)[NH3])C,d_amino,alpha,默认分类
LEU,[NH3][C@@H](CC(C)C)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
LME,O=[C](=O)C[C@H]([C@@H](C(=O)O)[NH3])C,d_amino,alpha,默认分类
LMQ,NC(=O)C[C@@H]([C@@H](C(=O)O)[NH3])C,n_methyl,alpha,默认分类
LVG,C=C[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
LVN,O=C[C@H]([C@@H]([C](=O)=O)[NH3])C,d_amino,alpha,默认分类
LYS,[NH3][C@@H](CCCC[NH3])C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
M2S,C[S@@](=O)CC([C@@H](C(=O)O)[NH3])(C)C,unclassified,alpha,默认分类
ME0,OCSCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
MEG,O=[C](=O)C[C@@H]([C@@H](C(=O)O)[NH3])C,unclassified,alpha,默认分类
MEN,CNC(=O)C[C@@H](C(=O)O)[NH3],n_methyl,alpha,默认分类
MEQ,CNC(=O)CC[C@@H](C(=O)O)[NH3],n_methyl,alpha,默认分类
MET,[NH3][C@@H](CCSC)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
MHO,C[S@@](=O)CC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
MOT5,COc1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)O)[NH3],cyclic,alpha,默认分类
MP34,O=[C](=O)[C@H](Cc1ccc(c(c1)C)C)[NH3],cyclic;d_amino,alpha,默认分类
MPH2,OC(=O)[C@H](Cc1ccccc1C)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
MTR5,Cc1cc2c(C[C@@H](C(=O)O)[NH3])c[nH]c2cc1,cyclic,alpha,默认分类
MTR6,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)C)[NH3],cyclic;d_amino,alpha,默认分类
MTY,OC(=O)[C@H](Cc1cccc(c1)O)[NH3],cyclic;d_amino,alpha,默认分类
NAL,OC(=O)[C@H](Cc1ccc2c(c1)cccc2)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
NAO1,OC(=O)[C@H](Cc1cccc2c1cc(O)cc2)[NH3],cyclic;d_amino,alpha,默认分类
NAO2,OC(=O)[C@H](Cc1ccc2c(c1)cc(cc2)O)[NH3],cyclic;d_amino,alpha,默认分类
NIY,O=[C](=O)[C@H](Cc1ccc(c(c1)N(=O)=O)O)[NH3],cyclic;d_amino,alpha,默认分类
NLE,CCCC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
NVA,CCC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
OAS,CC(=O)OC[C@@H](C(=O)O)[NH3],unclassified,alpha,匹配模式: C\(=O\)O.*\[C@@?H\].*\[NH3\]
OBF,[NH3][C@H](C(=O)O)CC(F)F,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
OCY,OCCSC[C@@H]([C](=O)=O)[NH3],unclassified,alpha,默认分类
OLT,CO[C@@H]([C@@H](C(=O)O)[NH3])C,unclassified,alpha,默认分类
OMT,OC(=O)[C@H](CCS(=O)(=O)C)[NH3],d_amino,alpha,默认分类
OMX,OC(=O)[C@H]([C@@H](c1ccc(cc1)O)O)[NH3],cyclic;d_amino,alpha,默认分类
OMY,OC(=O)[C@H]([C@@H](c1ccc(c(c1)Cl)O)O)[NH3],cyclic;d_amino,alpha,默认分类
ONL,CC(=O)CC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
ORN,[NH3]CCC[C@@H]([C](=O)=O)[NH3],cyclic,alpha,鸟氨酸型（α氨基酸带侧链氨基）
OTYR,OC(=O)[C@H](Cc1ccccc1O)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
PBF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(=O)c1ccccc1,aromatic;cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PF5,[NH3][C@H](C(=O)O)Cc1c(F)c(F)c(c(c1F)F)F,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PFF,[NH3][C@H](C(=O)O)Cc1ccc(cc1)F,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PHE,[NH3][C@@H](Cc1ccccc1)C(=O)O,aromatic;cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PHI,[NH3][C@H](C(=O)O)Cc1ccc(cc1)I,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PPN,O=[C](=O)[C@H](Cc1ccc(cc1)N(=O)=O)[NH3],cyclic;d_amino,alpha,默认分类
PRO,[NH2]1[C@H](C(=O)O)CCC1,cyclic;d_amino,alpha,默认分类
PTR,OC(=O)[C@H](Cc1ccc(cc1)OP(=O)(O)O)[NH3],cyclic;d_amino,alpha,默认分类
PTR2,OC(=O)[C@H](Cc1ccc(cc1)OP(=O)(O)O)[NH3],cyclic;d_amino,alpha,默认分类
PYR2,O=[C](=O)[C@H](Cc1ccccn1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
PYR3,OC(=O)[C@H](Cc1cccnc1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
PYR4,[NH3][C@H](C(=O)O)Cc1ccncc1,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
PYZ1,OC(=O)[C@H](Cn1cccn1)[NH3],cyclic;d_amino,alpha,默认分类
QU32,OC(=O)[C@H](Cc1ccc2c(n1)cccc2)[NH3],cyclic;d_amino,alpha,默认分类
QU33,OC(=O)[C@H](Cc1cnc2c(c1)cccc2)[NH3],cyclic;d_amino,alpha,默认分类
QU34,OC(=O)[C@H](Cc1ccnc2c1cccc2)[NH3],cyclic;d_amino,alpha,默认分类
